,地址,区域,小区,租凭方式,租金,楼层,面积,户型,朝向,发布日期,具体日期,介绍,看房记录（最新成交日期）,看房记录（最新成交价格）,距离地铁站距离,入住,租期,看房,电梯,车位,用水,用电,燃气,电视,冰箱,洗衣机,空调,热水器,床,暖气,宽带,衣柜,天然气,经度,纬度,链接,信息采集时间
0,徐汇,华泾,东湾小区,整租,3200,高楼层/6层,44㎡,1室1厅1卫,朝南,3天前,2019-07-27,"【户型介绍】 朝南大一房，通风采光好，户型方正，布局紧凑，房屋功能分区明确，全明无遮挡
【交通出行】 本房距离地铁1号线上海南站站4公里左右，小区500米内有820、824、111、闵行20路公交车
【周边配套】 小区之外近距离范围内有联华超市、农工商超市、沃尔玛超市，购物方便！ 浦发、邮政、建设、工商银行，为您生活提供便利！凌云一街坊，为您提供休闲场所！大华医院，为您提供医疗保障！
",2019-07-14,3500元/月,,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.458900,31.122795,https://sh.lianjia.com/zufang/SH2310180477056851968.html,2019-07-31 19:48:42
1,黄浦,新天地,梅兰坊,整租,5500,低楼层/3层,20㎡,1室0厅1卫,朝南,5天前,2019-07-26,,2018-10-19,4500元/月,48m,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,无,有,有,有,有,无,无,有,无,121.476158,31.215685,https://sh.lianjia.com/zufang/SH2308551380148953088.html,2019-07-31 19:48:42
2,徐汇,长桥,长桥三村,整租,4250,中楼层/6层,58㎡,2室1厅1卫,朝南,7天前,2019-07-24,"【户型介绍】 双南大两房，通风采光好，户型方正，布局紧凑，房屋功能分区明确，全明无遮挡，有意者可以随时联系看房哦
【交通出行】 本房距离地铁1号线上海南站站4公里左右，小区500米内有820、824、111、闵行20路公交车
【出租原因】 房东经常出差没有时间打理房屋，所以委托我们出租奔放，看房比较方便，欢迎联系看房哦
【周边配套】 小区之外近距离范围内有联华超市、农工商超市、沃尔玛超市，购物方便！ 浦发、邮政、建设、工商银行，为您生活提供便利！凌云一街坊，为您提供休闲场所！大华医院，为您提供医疗保障！
",2019-07-05,3400元/月,,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.441774,31.134567,https://sh.lianjia.com/zufang/SH2307750683245551616.html,2019-07-31 19:48:43
3,徐汇,华泾,华建一街坊,整租,3950,高楼层/6层,56㎡,2室1厅1卫,朝南,9天前,2019-07-22,"【户型介绍】 本房源是南北通透的大两房，实测两个房间打开窗户通风很好，而且采光充足，拎包即住，无需在自己打理，已保洁完成。
【装修描述】 本房源经过我自己的努力装修之后，已经焕然一新，东西配置都是一手，全新没有任何问题，欢迎各位有意向的随时品鉴哦！
【周边配套】 旁边公交车线路繁多，未来十五号线即将建成，交通更加方便，有需要的姐姐哥哥欢迎来实地品鉴！
",2019-06-30,3800元/月,,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.439974,31.120126,https://sh.lianjia.com/zufang/SH2306213071539929088.html,2019-07-31 19:48:44
4,徐汇,康健,寿昌坊,整租,4200,中楼层/6层,39㎡,1室1厅1卫,朝南,9天前,2019-07-22,,2019-06-26,3000元/月,941m,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,有,无,无,无,有,有,有,无,无,有,无,121.421000,31.150581,https://sh.lianjia.com/zufang/SH2298567423525666816.html,2019-07-31 19:48:45
5,徐汇,康健,寿昌坊,整租,3998,高楼层/6层,39㎡,1室1厅1卫,朝南,9天前,2019-07-22,,2019-06-26,3000元/月,941m,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,有,无,无,无,有,有,有,无,无,有,无,121.421000,31.150581,https://sh.lianjia.com/zufang/SH2298568391788863488.html,2019-07-31 19:48:46
6,黄浦,新天地,丰裕里,整租,10500,中楼层/3层,60㎡,2室1厅1卫,朝南,5天前,2019-07-26,,2019-07-05,3000元/月,264m,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.472768,31.217294,https://sh.lianjia.com/zufang/SH2309431012997996544.html,2019-07-31 19:48:47
7,徐汇,康健,桂莘小区,整租,5400,中楼层/6层,63㎡,2室1厅1卫,朝南,5天前,2019-07-26,,2019-07-06,4500元/月,819m,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.407622,31.160013,https://sh.lianjia.com/zufang/SH2309272736222158848.html,2019-07-31 19:48:48
8,徐汇,华东理工,长陇苑,整租,4900,低楼层/6层,70㎡,2室1厅1卫,朝南,4天前,2019-07-27,"【户型介绍】 南北通透的大两房，通风采光好，户型方正，布局合理，房屋功能分区明确，全明无遮挡
【交通出行】 本房距离地铁1号线上海南站站4公里左右，小区500米内有820、824、111、闵行20路公交车
【周边配套】 小区之外近距离范围内有联华超市、农工商超市、沃尔玛超市，购物方便！ 浦发、邮政、建设、工商银行，为您生活提供便利！凌云一街坊，为您提供休闲场所！大华医院，为您提供医疗保障！
",2019-07-18,3300元/月,,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.430263,31.136157,https://sh.lianjia.com/zufang/SH2310062528715571200.html,2019-07-31 19:48:49
9,徐汇,上海南站,汇成五村,整租,4950,高楼层/6层,59㎡,2室1厅1卫,朝南 北,6天前,2019-07-25,"【户型介绍】 此房为两房一厅，主次卧双阳台，南北通风，住着很舒适，汇成不常见的带厅两房。随时欢迎看房。
【装修描述】 汇成五村精装两房，家具家电全齐，拎包入住，以前是业主自住的。
【交通出行】 距离上海南站近，多路公交通往上海各地，方便快捷，15号线在建，年底通车。
",2019-07-27,3800元/月,,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.429504,31.153842,https://sh.lianjia.com/zufang/SH2308484721056677888.html,2019-07-31 19:48:51
10,徐汇,徐家汇,南丹小区,整租,4850,低楼层/7层,37㎡,1室1厅1卫,朝东南 南,1个月前,2019-06-18,,2019-07-28,3600元/月,486m,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,有,无,有,有,无,无,无,无,121.430309,31.191236,https://sh.lianjia.com/zufang/SH2298455869585113088.html,2019-07-31 19:48:51
11,浦东,金桥,陈家宅小区(浦东大道),整租,3600,低楼层/6层,38㎡,1室0厅1卫,朝南,17天前,2019-07-14,,2019-07-28,4000元/月,,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.572993,31.266058,https://sh.lianjia.com/zufang/SH2300458290116829184.html,2019-07-31 19:48:52
12,徐汇,华泾,光华绿苑,整租,6050,高楼层/6层,114㎡,4室1厅2卫,朝南,14天前,2019-07-17,"【户型介绍】 此房是顶楼复式，三房两厅一厨两卫，楼下两个卧室，一个餐厅，一个卫生间，楼上是客厅和一个卧室，南北通风，住着很舒适。
【装修描述】 房子是精装修的，家具家电全齐，拎包入住，业主把房屋保养的很好。
【周边配套】 有紫阳，位育等名校，华泾镇政府，华泾公园，适合陪读家长的选择。
",2019-03-25,3200元/月,,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.452880,31.111224,https://sh.lianjia.com/zufang/SH2302837777781497856.html,2019-07-31 19:48:53
13,徐汇,田林,田林十四村,整租,4800,高楼层/6层,37㎡,1室0厅1卫,朝南,1个月前,2019-06-23,,2019-07-20,6500元/月,397m,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.423490,31.175573,https://sh.lianjia.com/zufang/SH2298305379635044352.html,2019-07-31 19:48:54
